fold,d,1,2,3,4,5,6,7,8,9,10,11,12,13
1,1,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$W_{Jun}$,,,,,,,,
2,1,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{Glac}$,$A_{LE}$,log$(R_G)$,$W_{Apr}$,$W_{Jun}$,$A_{Agr}$,$A_{For}$,$W_{Jul}$,,
3,1,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,log$(R_G)$,$H_{F}$,$D_{net}$,$P_{Apr}$,,,,,
4,1,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Jan}$,log$(R_G)$,$H_{F}$,$A_{Agr}$,$A_{L}$,$H_{MIN}$,$C_{S}$,$D_{net}$,,
5,1,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$H_{F}$,$P_{Jul}$,$C_{S}$,,,,,,
6,1,$Q_{N}$,$A_{LE}$,$A_{P}$,$W_{Jul}$,$M_{200h}$,$D_{net}$,$W_{Mai}$,$R_{L}$,,,,,
7,1,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Feb}$,$D_{net}$,$D$,log$(R_G)$,$H_{F}$,$R_{L}$,,,,
8,1,$Q_{N}$,,$A_{P}$,$A_{LE}$,log$(R_G)$,$H_{F}$,$W_{Apr}$,$D_{net}$,,,,,
9,1,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$W_{Apr}$,$A_{For}$,,,,,,,
10,1,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$H_{F}$,$T_{Jun}$,$R_{L}$,$W_{Jun}$,,,,,
1,6,$Q_{N}$,$A_{LE}$,$A_{P}$,$W_{Apr}$,log$(R_G)$,,,,,,,,
2,6,$Q_{N}$,$A_{L}$,$A_{P}$,$T_{Jan}$,$A_{Agr}$,$A_{LE}$,$A_{For}$,,,,,,
3,6,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$W_{Jul}$,$D_{net}$,,,,,,,
4,6,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$W_{Apr}$,$A_{Agr}$,$A_{Glac}$,$A_{For}$,,,,,
5,6,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Feb}$,log$(R_G)$,$A_{Agr}$,$A_{Bog}$,,,,,,
6,6,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$P_{Jan}$,log$(R_G)$,$W_{Jun}$,$A_{Agr}$,,,,,
7,6,$Q_{N}$,$A_{LE}$,$A_{P}$,$W_{Apr}$,log$(R_G)$,$A_{For}$,$P_{Mai}$,,,,,,
8,6,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Feb}$,log$(R_G)$,$A_{Agr}$,$H_{F}$,,,,,,
9,6,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$W_{Apr}$,$A_{Agr}$,$A_{For}$,$R_{L}$,,,,,
10,6,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$P_{Jan}$,log$(R_G)$,$A_{Agr}$,$W_{Jun}$,$W_{Med3Max}$,,,,
1,12,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Apr}$,log$(R_G)$,$H_{F}$,,,,,,,
2,12,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Apr}$,$A_{LE}$,log$(R_G)$,$A_{Glac}$,,,,,,
3,12,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$W_{Dec}$,$A_{Agr}$,$A_{For}$,$D_{net}$,,,,,
4,12,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Apr}$,log$(R_G)$,$H_{F}$,,,,,,,
5,12,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Apr}$,log$(R_G)$,,,,,,,,
6,12,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Apr}$,log$(R_G)$,$A_{Agr}$,$A_{For}$,$D_{net}$,,,,,
7,12,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$P_{Apr}$,$A_{Agr}$,$A_{For}$,,,,,,
8,12,$Q_{N}$,$A_{LE}$,$A_{P}$,$W_{Jul}$,$P_{Apr}$,log$(R_G)$,$H_{F}$,$T_{Dec}$,$D$,,,,
9,12,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$W_{Dec}$,log$(R_G)$,$D_{net}$,$H_{MIN}$,,,,,
10,12,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$P_{Apr}$,log$(R_G)$,$A_{Agr}$,$A_{For}$,,,,,
1,18,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Med1Max}$,$A_{LE}$,log$(R_G)$,$H_{F}$,$A_{For}$,$W_{Apr}$,,,,
2,18,$Q_{N}$,$A_{L}$,$A_{P}$,$T_{Jan}$,$A_{Agr}$,$A_{For}$,$A_{LE}$,$M_{200d}$,log$(R_{G1085})$,$A_{Bog}$,$D_{net}$,,
3,18,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{Glac}$,$A_{LE}$,$P_{Apr}$,$A_{Agr}$,$D$,,,,,
4,18,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$P_{Apr}$,log$(R_G)$,$H_{F}$,,,,,,
5,18,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$P_{Apr}$,$M_{200d}$,$H_{F}$,$C_{S}$,,,,,
6,18,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$P_{Apr}$,log$(R_G)$,$A_{Agr}$,$P_{Feb}$,,,,,
7,18,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Apr}$,log$(R_G)$,$A_{For}$,log$(R_{G1085})$,$A_{Agr}$,,,,,
8,18,$Q_{N}$,$A_{LE}$,$A_{P}$,$W_{Jul}$,$H_{F}$,log$(R_G)$,$W_{Apr}$,$D_{net}$,$T_{Feb}$,$A_{Agr}$,,,
9,18,$Q_{N}$,$A_{L}$,$A_{P}$,$W_{Mar}$,$A_{LE}$,$A_{Agr}$,$A_{For}$,$M_{200dSN}$,$R_{L}$,,,,
10,18,$Q_{N}$,$A_{L}$,$A_{P}$,$W_{Jul}$,$A_{LE}$,$A_{Mount}$,log$(R_G)$,$W_{Aug}$,$A_{Agr}$,$A_{For}$,$D_{net}$,$M_{200d}$,
1,24,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Jan}$,$A_{LE}$,log$(R_G)$,$H_{F}$,$M_{200d}$,log$(R_{G1085})$,,,,
2,24,$Q_{N}$,$A_{L}$,$A_{P}$,$T_{Jan}$,$A_{Agr}$,$A_{LE}$,$A_{For}$,$P_{Jan}$,$H_{F}$,$H_{MIN}$,,,
3,24,$Q_{N}$,$A_{LE}$,$A_{P}$,$W_{Dec}$,$H_{F}$,log$(R_G)$,$A_{L}$,$A_{For}$,$A_{Agr}$,,,,
4,24,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Jan}$,$A_{Agr}$,$A_{LE}$,$H_{F}$,log$(R_G)$,$W_{Jun}$,$H_{MIN}$,$A_{Mount}$,$A_{Bog}$,
5,24,$Q_{N}$,$A_{P}$,$A_{LE}$,$P_{Jan}$,log$(R_G)$,$H_{F}$,$A_{L}$,$C_{S}$,,,,,
6,24,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Jan}$,$A_{Agr}$,$A_{L}$,$P_{Apr}$,log$(R_{G1085})$,$H_{F}$,,,,
7,24,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Apr}$,$A_{Mount}$,$A_{L}$,$A_{Agr}$,,,,,,
8,24,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Jan}$,log$(R_G)$,$H_{F}$,$D_{net}$,$C_{S}$,$M_{200d}$,,,,
9,24,$Q_{N}$,$A_{L}$,$A_{P}$,$W_{Mar}$,$A_{LE}$,$A_{Agr}$,$A_{For}$,$W_{Apr}$,,,,,
10,24,$Q_{N}$,$A_{LE}$,$A_{P}$,,log$(R_G)$,$W_{Nov}$,$D_{net}$,$H_{F}$,$R_{TLnet}$,,,,
1,36,$Q_{N}$,$A_{L}$,$P_{Jan}$,$A_{P}$,$A_{Agr}$,$A_{LE}$,$A_{For}$,$M_{200d}$,,,,,
2,36,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Jan}$,$A_{Agr}$,$W_{Dec}$,$A_{Glac}$,$H_{MIN}$,$A_{LE}$,$A_{For}$,$P_{Mai}$,log$(R_G)$,$H_{F}$
3,36,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Jan}$,$A_{LE}$,$A_{Agr}$,$W_{Jul}$,$A_{For}$,$W_{Apr}$,$M_{200d}$,,,
4,36,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Jan}$,$A_{Mount}$,$H_{F}$,$A_{Agr}$,$H_{10}$,$A_{LE}$,$A_{Bog}$,log$(R_{G1085})$,,
5,36,$Q_{N}$,$A_{P}$,$A_{LE}$,$P_{Jan}$,log$(R_G)$,$H_{F}$,$P_{Apr}$,$A_{L}$,$A_{For}$,$W_{Sep}$,,,
6,36,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Jan}$,$A_{Agr}$,log$(R_{G1085})$,$Q_{NSN}$,$A_{For}$,$M_{200d}$,,,,
7,36,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Jan}$,$H_{F}$,log$(R_G)$,$A_{Agr}$,,$A_{For}$,$A_{L}$,$W_{Jun}$,$H_{MIN}$,
8,36,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Jan}$,$H_{F}$,log$(R_{G1085})$,$A_{L}$,$M_{200d}$,,,,,
9,36,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Jan}$,$A_{LE}$,$A_{Agr}$,$H_{F}$,$A_{For}$,$W_{Jun}$,,,,
10,36,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Jan}$,log$(R_G)$,$A_{Agr}$,,,,,,,
1,48,$Q_{N}$,$A_{L}$,$A_{P}$,$W_{Apr}$,$A_{For}$,$A_{Agr}$,$M_{200d}$,$A_{LE}$,$H_{MIN}$,$H_{F}$,log$(R_{G1085})$,$H_{20}$,
2,48,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Apr}$,log$(R_{G1085})$,$A_{Agr}$,$Q_{NSN}$,$A_{LE}$,$H_{MIN}$,$H_{F}$,$C_{S}$,,
3,48,$Q_{N}$,$A_{L}$,$A_{P}$,log$(R_G)$,$H_{F}$,$A_{LE}$,$A_{For}$,$M_{200dSN}$,$P_{Apr}$,,,,
4,48,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Apr}$,$A_{LE}$,$A_{Mount}$,$H_{MIN}$,$D_{net}$,,,,,
5,48,$Q_{N}$,$A_{P}$,$A_{LE}$,$H_{F}$,log$(R_{G1085})$,$P_{Apr}$,$A_{For}$,,,,,,
6,48,$Q_{N}$,$A_{P}$,$A_{LE}$,$P_{Apr}$,$A_{Agr}$,$A_{For}$,$A_{L}$,log$(R_{G1085})$,$H_{MIN}$,,,,
7,48,$Q_{N}$,$A_{P}$,$A_{LE}$,$P_{Apr}$,$A_{Mount}$,$A_{L}$,,,,,,,
8,48,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Apr}$,log$(R_G)$,$H_{F}$,$A_{Bog}$,$A_{Agr}$,,,,,
9,48,$Q_{N}$,$A_{L}$,$A_{P}$,$P_{Apr}$,log$(R_{G1085})$,$A_{LE}$,$H_{F}$,$A_{For}$,,,,,
10,48,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$H_{F}$,$H_{MIN}$,$A_{L}$,$A_{For}$,$W_{Apr}$,$A_{Agr}$,,,
